model,all,long,men,old,short,women,young
cascade_nb_gbm,0.403,0.396,0.395,0.390,0.410,0.413,0.416
cascade_svc_poly_gbm,0.437,0.435,0.429,0.426,0.439,0.446,0.448
cascade_svc_poly_lr,0.436,0.433,0.426,0.419,0.439,0.447,0.453
cascade_svc_poly_svc_rbf,0.446,0.430,0.441,0.440,0.462,0.451,0.452
flat_gbm,0.441,0.424,0.450,0.421,0.458,0.430,0.461
flat_knn,0.419,0.410,0.434,0.369,0.428,0.401,0.470
flat_lr,0.435,0.426,0.430,0.417,0.445,0.442,0.454
flat_mlp,0.432,0.429,0.455,0.377,0.435,0.405,0.489
flat_nb,0.405,0.397,0.402,0.365,0.414,0.409,0.447
flat_rf,0.417,0.410,0.402,0.396,0.425,0.436,0.438
flat_svc_linear,0.391,0.377,0.362,0.381,0.405,0.425,0.401
flat_svc_poly,0.401,0.388,0.376,0.371,0.414,0.430,0.432
flat_svc_rbf,0.450,0.434,0.476,0.396,0.467,0.420,0.506
