model, mean,       std,        cv                             
bygender_gbm          ,0.637,0.038,5.971
bygender_svc_rbf      ,0.652,0.041,6.222
bygender_lr           ,0.635,0.040,6.253
bygender_mlp          ,0.627,0.041,6.570
bygender_rf           ,0.619,0.041,6.587
knn                   ,0.611,0.042,6.872
svc_poly              ,0.629,0.044,6.913
svc_linear            ,0.614,0.043,6.994
nb                    ,0.583,0.041,7.051
svc_rbf               ,0.645,0.046,7.065
mlp                   ,0.618,0.045,7.257
bygender_nb           ,0.625,0.045,7.259
gbm                   ,0.629,0.046,7.292
bygender_svc_linear   ,0.588,0.046,7.846
rf                    ,0.612,0.049,8.029
lr                    ,0.614,0.051,8.228
bygender_knn          ,0.640,0.053,8.256
bygender_svc_poly     ,0.600,0.058,9.591
