subsample,model,accuracy,rank
all,flat_svc_rbf,0.450,1
all,cascade_svc_poly_svc_rbf,0.446,2
all,flat_gbm,0.441,3
long,cascade_svc_poly_gbm,0.435,1
long,flat_svc_rbf,0.434,2
long,cascade_svc_poly_lr,0.433,3
men,flat_svc_rbf,0.476,1
men,flat_mlp,0.455,2
men,flat_gbm,0.450,3
old,cascade_svc_poly_svc_rbf,0.440,1
old,cascade_svc_poly_gbm,0.426,2
old,flat_gbm,0.421,3
short,flat_svc_rbf,0.467,1
short,cascade_svc_poly_svc_rbf,0.462,2
short,flat_gbm,0.458,3
women,cascade_svc_poly_svc_rbf,0.451,1
women,cascade_svc_poly_lr,0.447,2
women,cascade_svc_poly_gbm,0.446,3
young,flat_svc_rbf,0.506,1
young,flat_mlp,0.489,2
young,flat_knn,0.470,3
