Lemma,Freq(ipm)
и,35801.8
в,31374.2
не,18028.0
на,15867.3
я,12684.4
быть,12160.7
он,11791.1
с,11311.9
что,8354.0
а,8198.0
по,5786.7
это,5707.8
она,5592.4
этот,5414.0
к,5389.0
но,5381.4
они,4850.0
мы,4704.8
как,4403.7
из,4314.1
у,4306.1
который,4209.0
то,3964.4
за,3904.1
свой,3825.5
что,3810.2
весь,3786.3
год,3727.5
от,3672.5
так,3440.4
о,3407.1
для,3229.3
ты,3171.2
же,3144.3
все,3106.8
тот,2967.1
мочь,2912.3
вы,2906.4
человек,2723.0
такой,2696.8
его,2577.9
сказать,2396.6
только,2391.7
или,2345.0
еще,2323.9
бы,2322.4
себя,2272.8
один,2245.7
как,2212.7
уже,2179.2
до,2061.1
время,2015.7
если,1998.1
сам,1986.3
когда,1895.7
другой,1837.3
вот,1785.1
говорить,1755.0
наш,1731.8
мой,1720.3
знать,1713.8
стать,1621.8
при,1550.8
чтобы,1479.7
дело,1412.1
жизнь,1389.8
кто,1374.8
первый,1345.6
очень,1286.8
два,1285.1
день,1258.4
ее,1219.2
новый,1217.5
рука,1200.6
даже,1179.8
во,1167.8
со,1151.3
раз,1131.8
где,1129.2
там,1128.1
под,1126.0
можно,1125.9
ну,1114.6
какой,1091.7
после,1080.1
их,1076.0
работа,1058.3
без,1018.8
самый,1007.4
потом,1006.1
надо,993.2
хотеть,991.3
ли,981.7
слово,967.9
идти,957.1
Россия,952.2
большой,944.4
должен,944.2
место,926.6
иметь,906.7
ничто,902.8
то,902.4
сейчас,897.3
тут,879.2
лицо,878.0
каждый,875.9
друг,874.2
нет,874.0
теперь,871.8
ни,858.2
глаз,857.6
тоже,841.5
тогда,835.6
видеть,818.2
вопрос,805.8
через,805.4
да,801.0
здесь,796.8
дом,792.6
да,787.5
потому,769.3
сторона,768.3
какой-то,762.6
думать,755.5
сделать,743.5
страна,725.7
жить,725.5
чем,721.1
мир,714.7
об,714.5
последний,712.6
случай,709.7
голова,709.4
более,706.2
делать,701.1
что-то,667.6
смотреть,667.2
ребенок,658.3
просто,656.5
конечно,647.3
сила,645.8
российский,644.6
конец,634.7
Москва,633.5
перед,626.7
несколько,623.7
вид,620.1
система,617.8
всегда,611.9
работать,611.2
между,607.5
три,596.7
нет,589.2
понять,588.2
пойти,587.2
часть,585.4
спросить,573.9
город,573.4
дать,573.1
также,569.9
никто,562.2
понимать,559.7
получить,557.7
отношение,557.4
лишь,552.5
второй,552.4
именно,551.4
ваш,547.5
хотя,546.9
ни,543.5
сидеть,538.1
над,537.0
женщина,533.3
оказаться,531.9
русский,530.5
один,529.5
взять,525.8
прийти,523.3
являться,522.9
деньги,512.4
почему,507.2
вдруг,503.2
любить,503.1
стоить,501.9
почти,501.7
земля,494.4
общий,492.4
ведь,491.9
машина,490.4
однако,487.1
сразу,486.0
хорошо,485.7
вода,484.8
отец,484.1
высокий,483.3
остаться,482.7
выйти,480.9
много,480.0
проблема,474.9
начать,473.3
хороший,471.4
час,468.1
это,466.7
сегодня,463.5
право,461.4
совсем,460.5
нога,459.2
считать,455.3
главный,454.6
решение,453.4
увидеть,452.4
дверь,450.8
казаться,448.2
образ,445.9
писать,444.3
история,443.9
лучший,443.2
власть,435.6
закон,433.4
все,433.3
война,425.9
бог,425.4
голос,424.5
найти,424.1
поэтому,421.3
стоять,419.3
вообще,417.6
тысяча,416.0
больше,415.3
вместе,414.3
маленький,414.1
книга,413.9
некоторый,410.9
решить,409.7
любой,408.8
возможность,407.5
результат,403.1
ночь,402.8
стол,402.5
никогда,401.8
имя,401.7
область,400.2
молодой,400.0
пройти,398.4
например,398.0
статья,395.0
оно,394.7
число,393.5
